,Symbol,Previous Closing,LTP,Point Change,%Change,LTV,Open,High,Low,Volm.,Watch
172,NICSF,9,8.9,-0.11,1.22,100,9,9,9,41600,
186,MMF1,9,9.0,-0.18,1.96,100,9,9,9,32300,
209,KEF,9,9.17,-0.04,0.43,300,9,9,9,23150,
208,SBCF,9,8.7,-0.3,3.33,3000,9,9,9,127025,
190,SLCF,9,9.21,-0.14,1.5,400,9,9,9,8050,
205,NIBSF2,9,9.23,0.16,1.76,105,9,9,9,12605,
204,PSF,9,9.0,-0.07,0.77,5800,9,9,9,12900,
191,NBF3,9,9.4,0.0,0.0,100,9,9,9,24700,
214,CMF1,10,9.89,-0.2,1.98,850,10,10,10,16900,
187,LUK,10,10.22,-0.08,0.78,1433,10,10,10,88410,
26,CMF2,10,10.13,0.0,0.0,2250,10,10,10,22525,
194,RMF1,10,9.13,-0.41,4.3,500,9,9,9,12257,
65,LEMF,11,10.66,0.02,0.19,10000,11,11,11,85550,
133,SIGS2,11,11.05,-0.38,3.32,11220,11,11,11,122975,
173,NBF2,11,10.89,-0.32,2.85,9900,11,11,11,40450,
177,NICBF,11,10.95,-0.15,1.35,9500,11,11,11,21400,
203,NIBLPF,11,10.99,-0.01,0.09,100,11,11,11,15366,
210,SEF,11,10.97,-0.02,0.18,2000,11,11,11,45250,
77,NEF,11,11.0,0.08,0.73,500,11,11,11,68012,
213,NICGF,12,11.93,0.06,0.51,2000,12,12,12,3600,
159,GIMES1,12,11.7,-0.3,2.5,10000,12,12,12,76692,
218,NMBHF1,12,11.65,-0.2,1.69,3577,12,12,12,5577,
202,SFMF,12,11.88,0.22,1.89,900,12,12,12,20750,
207,SAEF,13,13.43,-0.06,0.44,100,13,13,13,85325,
217,NMB50,13,12.75,-0.02,0.16,9496,13,13,13,54496,
145,SHL,209,206.7,-2.3,1.1,250,207,209,206,22186,
122,CCBL,236,231.0,-5.0,2.12,200,234,234,229,67650,
75,CBL,244,236.0,-8.0,3.28,430,240,243,236,80035,
18,KBL,246,241.5,-4.5,1.83,20,246,246,241,52186,
27,NCCB,266,259.0,-7.0,2.63,129,262,265,256,111222,
82,SRBL,267,259.1,-7.9,2.96,213,265,265,258,39372,
127,MEGA,273,268.0,-5.0,1.83,85,273,273,265,61944,
2,LBL,275,270.0,-5.0,1.82,37,270,271,267,24141,
0,BOKL,275,268.5,-6.5,2.36,200,273,274,267,44553,
149,CZBIL,279,272.1,-6.9,2.47,72,275,278,271,51622,
79,MBL,307,300.0,-7.0,2.28,50,304,307,298,65757,
135,PRVU,309,302.0,-6.9,2.23,36,308,310,300,118903,
9,HIDCL,315,307.0,-8.0,2.54,10,315,315,305,343057,
114,NMB,324,317.1,-6.9,2.13,90,322,322,316,75064,
29,AKJCL,324,313.0,-10.9,3.37,15,330,330,311,132537,
12,PCBL,332,325.0,-7.0,2.11,100,330,330,321,80217,
90,KKHC,333,321.5,-11.5,3.45,140,335,347,319,35643,
3,GBIME,334,327.5,-6.5,1.95,50,330,332,325,82995,
81,SANIMA,337,333.0,-4.0,1.19,15,337,338,331,48777,
118,JOSHI,337,325.5,-11.5,3.41,10,343,344,323,79358,
17,HDHPC,340,330.0,-10.0,2.94,282,345,345,328,66077,
163,SAPDBL,345,335.1,-9.9,2.87,172,340,341,335,10850,
53,NBL,346,339.9,-5.9,1.71,30,346,349,337,87319,
198,GRDBL,350,340.0,-10.0,2.86,534,343,347,337,6345,
37,DHPL,360,354.0,-5.7,1.58,50,367,381,344,156177,
63,NIFRA,360,354.0,-6.0,1.67,100,360,361,350,235395,
14,TRH,362,355.0,-7.0,1.93,409,369,384,355,5279,
174,SBI,370,360.0,-10.0,2.7,20,363,363,356,9716,
116,PROFL,372,361.3,-10.8,2.9,45,365,372,359,21456,
59,PMHPL,373,366.0,-7.0,1.88,200,380,380,360,38976,
48,GHL,379,367.0,-12.0,3.17,600,382,398,363,137710,
164,SFCL,383,372.0,-11.0,2.87,10,375,383,368,9633,
96,SSHL,384,390.0,6.0,1.56,10,379,392,361,70977,
132,UNHPL,385,370.0,-15.0,3.9,200,380,393,365,28490,
49,UPCL,386,364.0,-22.0,5.7,105,394,394,360,95968,
92,SADBL,392,382.0,-10.0,2.55,200,392,392,378,39755,
95,SINDU,395,383.0,-12.0,3.04,30,387,394,381,15096,
168,LEC,396,390.0,-6.0,1.52,100,389,401,385,25379,
146,SJCL,399,392.2,-6.9,1.73,30,397,398,388,29872,
28,ADBL,400,397.0,-3.0,0.75,20,401,401,392,33591,
41,SHINE,402,396.0,-6.2,1.54,13,401,404,391,63038,
72,RHPL,408,400.0,-8.1,1.98,80,400,410,396,63102,
154,KRBL,411,396.3,-14.7,3.58,100,405,405,395,12782,
4,JBBL,411,400.0,-11.0,2.68,10,405,409,398,91886,
24,MPFL,414,408.0,-6.0,1.45,10,420,420,400,7485,
6,UMHL,418,399.0,-19.0,4.55,289,418,418,399,112938,
84,SBL,424,415.5,-8.5,2.0,200,424,424,414,34467,
20,NHPC,424,415.0,-9.0,2.12,250,430,430,415,642637,
130,BPCL,437,425.0,-12.0,2.75,50,432,437,425,30993,
78,GMFIL,440,427.0,-13.0,2.95,10,432,448,422,12426,
60,SHPC,448,431.0,-16.9,3.77,100,448,453,428,146971,
21,SIFC,450,436.0,-14.0,3.11,19,441,450,433,17488,
76,MBJC,452,435.0,-17.0,3.76,10,452,455,431,52331,
212,EICPO,453,443.8,-9.0,1.99,90,462,462,435,1582,
124,CFCL,465,445.0,-20.0,4.3,639,456,461,445,31884,
36,BFC,476,461.0,-15.0,3.15,50,480,480,458,25936,
74,RLFL,478,462.0,-16.0,3.35,30,480,480,460,23916,
143,SCB,479,470.0,-9.0,1.88,100,479,479,468,15830,
62,GLH,485,461.0,-24.0,4.95,25,485,485,461,6567,
111,LBBL,488,472.0,-16.0,3.28,23,482,484,471,56336,
138,CHL,489,472.0,-17.0,3.48,72,489,493,470,20675,
87,HPPL,490,472.0,-18.0,3.67,10,481,481,465,12727,
66,MLBL,490,478.0,-12.0,2.45,200,490,490,474,56422,
102,OHL,491,480.0,-11.1,2.26,100,491,491,477,5929,
162,MHNL,492,490.0,-2.0,0.41,158,502,502,463,18612,
106,SHEL,499,479.0,-20.0,4.01,46,508,508,473,10970,
52,KSBBL,501,487.0,-13.5,2.7,70,495,500,485,37722,
22,SPDL,502,481.1,-20.9,4.16,20,496,499,480,62275,
156,MDB,505,486.0,-19.0,3.76,38,500,503,485,9575,
148,HURJA,505,496.0,-9.0,1.78,50,510,510,490,2406,
55,CHCL,510,498.0,-12.0,2.35,500,505,509,495,35946,
68,EDBL,510,489.0,-21.0,4.12,50,520,520,485,13501,
98,PPCL,518,502.0,-16.0,3.09,10,508,516,498,25878,
109,MNBBL,520,510.0,-10.0,1.92,100,530,530,509,44932,
7,API,521,511.0,-9.5,1.83,100,521,522,506,232542,
70,PFL,537,522.0,-15.0,2.79,10,532,540,519,17229,
44,NABBC,541,539.0,-2.1,0.39,10,531,542,521,4313,
101,JFL,546,534.0,-12.0,2.2,455,555,555,528,16453,
15,AKPL,547,532.0,-15.0,2.74,38,547,547,530,88148,
34,AHPC,548,532.0,-16.0,2.92,58,543,548,530,241993,
31,NYADI,550,520.0,-30.0,5.45,10,550,551,518,37596,
23,KPCL,552,540.0,-12.0,2.17,10,553,560,526,22440,
157,SLI,559,545.0,-14.0,2.5,550,548,558,545,17710,
10,NHDL,562,545.0,-17.0,3.02,10,560,569,542,62318,
123,GBBL,565,553.0,-12.0,2.12,43,564,565,550,57470,
16,BARUN,565,549.0,-16.0,2.83,200,576,576,541,52310,
141,RLI,566,548.0,-18.0,3.18,90,555,556,546,15354,
131,PLI,579,566.5,-12.6,2.18,10,573,575,563,13714,
85,CORBL,581,560.0,-21.0,3.61,25,581,581,538,2455,
86,EBL,582,565.0,-17.0,2.92,300,577,577,562,14046,
225,NLICLP,591,591.0,0.0,0.0,5647,591,591,591,5647,
117,GIC,595,580.0,-14.5,2.44,10,585,593,576,5545,
134,SGI,608,585.0,-23.0,3.78,10,608,610,584,3452,
150,JLI,614,590.0,-24.0,3.91,10,603,610,589,18032,
129,GLICL,616,595.0,-21.0,3.41,120,610,617,593,32206,
97,GFCL,650,626.0,-24.0,3.69,10,638,648,620,17551,
54,UPPER,651,635.0,-16.0,2.46,25,638,651,630,136037,
160,EIC,651,633.0,-18.0,2.76,30,645,645,628,9219,
91,MFIL,665,652.0,-13.0,1.95,200,665,665,650,19610,
61,ULI,667,649.0,-18.0,2.7,50,654,660,645,15690,
113,UIC,668,660.0,-8.0,1.2,50,681,681,643,13473,
40,NGPL,673,655.1,-17.9,2.66,19,670,675,654,41311,
67,RADHI,677,663.0,-14.0,2.07,50,691,691,658,25836,
89,AIL,682,666.0,-16.1,2.36,19,681,683,665,4687,
88,SAHAS,686,665.2,-20.8,3.03,40,673,690,660,66226,
142,NFS,689,670.0,-19.0,2.76,220,703,703,668,28068,
43,GUFL,695,677.0,-18.0,2.59,10,695,696,675,34796,
38,HGI,696,765.0,69.0,9.91,10,683,765,676,9609,
165,PICL,715,690.0,-24.9,3.48,110,701,704,688,8834,
80,MKJC,720,693.0,-27.0,3.75,80,706,714,666,19410,
179,PLIC,720,702.0,-18.0,2.5,299,710,720,700,10923,
39,ICFC,720,685.0,-35.0,4.86,20,706,706,681,147526,
69,IGI,730,712.0,-18.0,2.47,10,730,730,700,26086,
50,BNHC,733,697.0,-36.0,4.91,10,719,724,678,17184,
