,Sub Index,Turnover,Close,Point,% Change
0,Banking SubIndex,374665931.55,1197.45,4.87,0.4
1,Development Bank Index,255515198.4,3889.56,44.22,1.15
2,Finance Index,180069323.2,1773.03,6.13,0.34
3,Hotels And Tourism,121517990.0,5417.4,-89.55,-1.62
4,HydroPower Index,1135409012.5,2195.93,8.95,0.4
5,Investment,201742933.9,71.39,0.17,0.24
6,Life Insurance,530460886.2,11109.97,-129.1,-1.14
7,Manufacturing And Processing,396028437.0,5117.62,42.53,0.83
8,Microfinance Index,185896873.5,3539.33,29.13,0.82
9,Mutual Fund,6463231.22,18.4,0.14,0.78
10,Non Life Insurance,324524488.9,10874.81,-144.46,-1.31
11,Others Index,103032780.9,1486.0,4.99,0.33
12,Trading Index,29855699.4,2866.43,-2.46,-0.08
